id,en,fr,es,de,it,pt_BR,pt_PT,ru_RU,el,tr,da,nn,sv,nl,pl,fi,ja,zh_CN,zh_TW,ko,cs,hu,ro,th,bg,he,ar,bs_BA
CONTEXT_LABEL_BUY_CAKE,Buy a cake for %d cookies,Achète un gateaux à %d biscuits,,Kaufe einen Kuchen für %d Kekse,,Compre um bolo por %d biscoitos,,,,,,,,,,,,,,,,,,,,,,
CONTEXT_LABEL_DUEL_REWARD,Duel Reward:,La récompense de duel:,,Duell Belohnung:,,Recompensa do Duelo:,,,,,,,,,,,,,,,,,,,,,,
CONTEXT_LABEL_DUEL_SELECT,Select Opponent:,Choisis un ennemi:,,Gegner wählen:,,Selecione Oponente:,,,,,,,,,,,,,,,,,,,,,,
CONTEXT_LABEL_FINISH,Finish!,Fini!,,Ende!,,Acabou!,,,,,,,,,,,,,,,,,,,,,,
CONTEXT_LABEL_GO,Go!,En avant!,,Los!,,Começar!,,,,,,,,,,,,,,,,,,,,,,
CONTEXT_LABEL_OUTCOME_DRAW,Draw!,Match nul!,,Unentschieden!,,Empate!,,,,,,,,,,,,,,,,,,,,,,
CONTEXT_LABEL_OUTCOME_GAME_OVER,Game over!,Jeu terminé!,,Spiel vorbei!,,Fim de jogo!,,,,,,,,,,,,,,,,,,,,,,
CONTEXT_LABEL_OUTCOME_WINNER_IS_PLAYER,The winner is %s!,Le vainqueur du jeu es %s!,,%s hat gewonnen!,,O vencedor é %s!,,,,,,,,,,,,,,,,,,,,,,
CONTEXT_LABEL_PLAYER_ROLLED,%s rolled %d:,%s a jeté %d:,,%s hat %d gewürfelt:,,%s jogou %d:,,,,,,,,,,,,,,,,,,,,,,
CONTEXT_LABEL_PLAYER_WINS,%s wins!,%s a gagné!,,%s gewinnt!,,%s vence!,,,,,,,,,,,,,,,,,,,,,,
CONTEXT_LABEL_READY_QUESTION,Ready?,Prêts?,,Fertig?,,Pronto?,,,,,,,,,,,,,,,,,,,,,,
CONTEXT_LABEL_ROLL,Roll,Jete le dé!,,Würfeln,,Jogue,,,,,,,,,,,,,,,,,,,,,,
CONTEXT_LABEL_ROLL_PLAYER,Roll %s!,"%s, jete le dé!",,"Würfel, %s!",,Jogue %s!,,,,,,,,,,,,,,,,,,,,,,
CONTEXT_LABEL_STEAL_ONE_CAKE,Winner steals 1 cake,Le vainqueur vole 1 gâteaux,,Der Gewinner stiehlt 1 Kuchen,,Vencedor rouba 1 bolo,,,,,,,,,,,,,,,,,,,,,,
CONTEXT_LABEL_STEAL_TEN_COOKIES,Winner steals 10 cookies,Le vainqueur vole 10 biscuits,,Der Gewinner stiehlt 10 Kekse,,Vencedor rouba 10 biscoitos,,,,,,,,,,,,,,,,,,,,,,
CONTEXT_LABEL_TURN_NUM,Turn %d,Tour %d!,,Zug %d,,Rodada %d,,,,,,,,,,,,,,,,,,,,,,
CONTEXT_LABEL_VS,VS.,contre,,VS.,,VS.,,,,,,,,,,,,,,,,,,,,,,
CONTEXT_LABEL_YOUR_TURN,It's your turn!,C'èst à toi!,,Du bist dran!,,É a sua vez!,,,,,,,,,,,,,,,,,,,,,,
CONTEXT_NOTIFICATION_NOT_ENOUGH_COOKIES,You don't have enough cookies to buy that,Tu n'as pas assez de buiscuits,,Du hast nicht genügend Kekse, zum kaufen,Você não tem biscoitos o suficiente para comprar isto,,,,,,,,,,,,,,,,,,,,,,
CONTEXT_NOTIFICATION_NOT_ENOUGH_SPACE,You don't have space left in your inventory,Tu n'as pas assez encore de place,,Du hast keinen Platz in deinem Inventar,,Você não tem espaço o suficiente em seu inventário,,,,,,,,,,,,,,,,,,,,,,
MENU_CONTROLS_ACTION_1,Action 1,Action 1,,Aktion 1,,Ação 1,,,,,,,,,,,,,,,,,,,,,,
MENU_CONTROLS_ACTION_2,Action 2,Action 2,,Aktion 2,,Ação 2,,,,,,,,,,,,,,,,,,,,,,
MENU_CONTROLS_ACTION_3,Action 3,Action 3,,Aktion 3,,Ação 3,,,,,,,,,,,,,,,,,,,,,,
MENU_CONTROLS_ACTION_4,Action 4,Action 4,,Aktion 4,,Ação 4,,,,,,,,,,,,,,,,,,,,,,
MENU_CONTROLS_AXIS_MINUS,Axis -,l'axe -,,Achse -,,Axis -,,,,,,,,,,,,,,,,,,,,,,
MENU_CONTROLS_AXIS_PLUS,Axis +,l'axe +,,Achse +,,Axis +,,,,,,,,,,,,,,,,,,,,,,
MENU_CONTROLS_AXIS_UNKNOWN,Unknown Axis,l'axe inconnu,,Unbekannte Achse,,Axis Desconhecida,,,,,,,,,,,,,,,,,,,,,,
MENU_CONTROLS_AXIS_X_LEFT,X Left,X gauche,,X Links,,X Esquerdo,,,,,,,,,,,,,,,,,,,,,,
MENU_CONTROLS_AXIS_X_RIGHT,X Right,X droite,,X Rechts,,X Direito,,,,,,,,,,,,,,,,,,,,,,
MENU_CONTROLS_AXIS_Y_LEFT,Y Left,Y gauche,,Y Links,,Y Esquerdo,,,,,,,,,,,,,,,,,,,,,,
MENU_CONTROLS_AXIS_Y_RIGHT,Y Right,Y droite,,Y Rechts,,Y Direito,,,,,,,,,,,,,,,,,,,,,,
MENU_CONTROLS_BUTTON_UNKNOWN,Unknown Button,bouton inconnu,,Unbekannter Knopf,,Botão Desconhecido,,,,,,,,,,,,,,,,,,,,,,
MENU_CONTROLS_GAMEPAD,Gamepad,Manette,Mando,Gamepad,Controller,Controle,Comando,Геймпад,Gamepad,Oyun Kumandası,Gamepad,Spillkontroll,Handkontroll,Controller,Kontroler,Peliohjain,ゲームパッド,游戏手柄,游戲手柄,게임 패드,Ovladač,Kontroller,Gamepad,จอยสติ๊ก,Джойстик,ג'ויסטיק,مقبض التحكم,Džojstik
MENU_CONTROLS_GAMEPAD_BUTTON,Gamepad button,Bouton de manette,,Gamepad Knopf,,Botão do controle,,,,,,,,,,,,,,,,,,,,,,
MENU_CONTROLS_GAMEPAD_BUTTON_1,Gamepad button 1,Bouton de manette 1,,Gamepad 1,,Botão 1 do controle,,,,,,,,,,,,,,,,,,,,,,
